year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1961	184	971	1025	78	0	174	26	381	1	12	201	56	10	358	767	199	0	86	48	330	0	10	137	17	267	1014	1003	61	0	205	23	294	0	9	211	103	52	941	847	98	0	279	13	334	1	31	255	31	3	112	1272	30	0	132	218	194	10	0	23	24	73	249	1542	30	0	205	36	175	0	2	148	61
1962	197	972	1028	73	0	226	19	360	1	12	136	57	12	365	723	198	0	100	47	333	1	11	176	18	270	1030	998	82	0	216	22	317	0	9	209	103	57	947	851	109	0	315	13	330	2	34	247	32	3	111	1342	29	0	137	194	185	11	0	20	25	74	272	1542	30	0	208	37	193	0	2	146	67
1963	210	975	1036	69	0	236	25	270	1	10	147	54	14	365	721	194	0	76	43	306	0	10	147	19	264	1041	960	90	0	218	28	320	0	9	202	103	59	959	832	116	0	295	13	335	2	33	244	36	3	109	1277	30	0	134	187	182	12	0	21	25	76	289	1548	36	0	219	39	185	0	2	138	73
1964	208	861	1050	71	0	256	24	398	1	11	145	59	12	357	765	195	0	84	44	323	0	10	159	19	264	1037	933	98	0	225	20	341	2	10	197	99	66	963	913	101	0	304	11	349	1	35	234	34	3	108	1321	31	0	132	163	185	12	0	23	26	77	297	1548	42	0	217	35	206	0	2	138	71
1965	210	901	1055	72	0	277	23	363	1	10	216	57	14	356	764	193	0	79	42	303	0	11	157	20	260	1077	938	85	0	234	22	324	1	9	187	99	72	960	934	103	0	321	12	335	3	40	222	32	3	104	1218	31	0	133	188	195	9	0	27	26	73	331	1499	40	0	210	36	220	0	2	133	73
1966	200	981	950	74	0	325	16	387	1	11	143	57	14	336	735	190	0	79	37	311	0	10	156	23	260	1067	899	92	0	251	24	337	2	11	188	95	69	957	926	117	1	307	12	351	3	39	221	38	3	105	1269	32	0	129	148	192	10	0	30	26	75	345	1472	45	0	237	31	233	0	4	121	77
1967	207	977	973	77	0	333	15	393	1	9	174	58	14	339	720	205	0	85	40	297	0	9	156	24	255	1114	860	92	0	254	19	385	1	11	186	97	70	983	899	119	1	314	11	341	3	38	222	37	3	100	1366	32	0	127	129	170	11	0	30	27	80	365	1465	47	0	247	34	260	0	4	108	78
1968	209	1023	989	72	0	333	15	387	1	9	176	56	13	335	740	195	0	101	40	288	1	9	159	25	259	1149	862	95	0	275	20	325	2	15	180	94	74	1001	892	136	0	317	11	363	3	37	221	34	3	105	1340	29	0	126	175	160	9	0	37	28	79	381	1423	54	0	252	31	282	0	4	106	83
1969	209	1049	945	86	0	345	16	387	1	8	208	58	15	331	692	201	0	106	40	340	1	9	154	25	251	1150	838	94	0	271	17	368	2	15	175	96	79	1013	898	126	1	304	12	357	3	36	214	37	4	106	1358	30	0	130	150	184	9	0	39	28	73	408	1395	52	0	255	33	299	0	4	93	79
1970	213	994	1016	96	0	317	13	419	1	9	200	57	12	335	719	206	0	117	41	312	0	10	168	26	256	1175	825	96	0	255	22	384	2	14	177	93	86	1052	896	124	1	304	11	374	3	36	210	41	3	101	1405	30	0	134	169	195	12	0	36	28	77	428	1368	55	0	272	29	341	2	4	84	76
