year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0.3,25.8,20.8,116.4,9.9,2.7,47.1,11.8,0,77.5,0,4.7,6.3,0.5,291,0.3,0,9,0.8,0,3.6,11.5,0,3.3,0,6.3,0.5,0,9.6,0,1.1,0,0,27.7,0,0,3,0,0,6.3,0,300.3,1.9,60.8,10.4,550.4,0,0,0,21.1,0,0,2.5,75.9
1962,0.3,24.7,18.1,108.8,3.3,3,51,11.2,0,84.9,0,4.7,4.7,0.5,318.4,0.5,0.3,8.8,0.8,0,3.6,11.5,0,3,0.5,9.9,0.5,0,9.9,0,1.4,0,0,18.4,0,0,6,0,0,6,0,314,2.2,73.2,10.7,552.6,0,0,0,21.4,0.3,0,3,103
1963,0.3,31.8,19.7,110.4,4.9,5.2,77.3,14.5,0,83,0,6,35.1,0.5,295.6,0.5,0,8.2,0.5,0,3.3,12.6,0,2.7,0.3,7.7,0.3,0,9,0,0.3,1.4,0,15.6,0,0,4.9,0,0,5.8,0,283.6,2.2,71.2,10.1,544.4,0,0.3,0,18.6,0,0,3.6,87.1
1964,0.5,28.8,23,121.9,8.5,4.7,74.8,13.2,0,95.6,0,5.5,40,0.8,299.7,0.3,0,7.9,0.5,0,3.3,11.2,0,3.3,0,8.8,0.3,0,8.5,0,0.5,2.5,0,13.7,0,0,7.4,0,0,6,0,284.1,1.9,70.4,10.4,535.9,0,0,0,16.7,0.3,0,3.6,81.4
1965,0.5,29.9,20.8,125.8,5.8,3.8,74.5,13.7,0,114.8,0,5.2,41.6,0.5,298.4,0.5,0,7.9,1.9,0,3.3,11.8,0,3,0,9.3,0.5,0,10.1,0,1.1,0,0,9.6,0,0,3.3,0,0,5.8,0,278.6,2.2,69.3,10.4,531.2,0.3,0.5,0,21.1,0.3,0,3.8,83
1966,0.3,26,20.5,127.4,8.2,3.6,74,12.1,0,109.6,0,5.5,42.5,0.5,298.9,0.5,0,8.2,1.9,0,3,14,0,3.8,0.3,9.3,0.5,0,10.4,0,0.5,0.8,0,7.7,0,0,3.3,0,0,6.3,0,275.9,2.7,66.6,10.4,518.6,0,0.8,0,23,0,0,4.1,86.3
1967,0.5,27.1,16.2,132.9,8.2,3.8,77.8,12.3,0,121.9,0,5.2,36.7,0.5,288.8,0.5,0,7.9,1.6,0,2.7,17.3,0,4.4,0,8.8,0.3,0,9.6,0,1.1,0.5,0,8.5,0,0,3.6,0,0,6,0,267.7,2.2,64.9,10.1,509,0.3,0.8,0,20.3,0.3,0,4.4,84.7
1968,0.5,26.6,19.5,137.3,8.8,3.6,80.3,12.3,0,121.6,0,5.2,39.7,0.8,281.6,0.8,0,7.7,1.6,0,2.7,16.2,0,5.2,0.3,9.6,0.3,0,11.5,0,1.1,0,0,19.5,0,0,3,0,0,5.8,0,262.2,2.5,62.5,9.9,503.6,0.3,1.1,0,22.2,0.3,0,4.4,84.9
1969,0.3,24.1,15.1,138.4,8.8,4.1,80,11,0,123.3,0,4.9,26.3,0.8,275.6,0.8,0,7.7,2.7,0,3,12.3,0,5.2,0.3,11.5,0.5,0,13.4,0,1.1,0,0,19.5,0,0,3.6,0,0,6,0,252.6,2.7,65.8,9.3,529.3,0,1.1,0,21.9,0.3,0,4.7,89.9
1970,1.1,21.9,12.3,141.4,10.4,1.4,88.2,10.1,0,117.8,0,5.8,40.5,0.8,276.2,1.6,0,7.4,2.5,0,2.7,13.4,0,6.6,0,12.9,0.5,0,14.8,0,0.8,0,0,19.5,0,0,3,0,0,5.8,0,245.8,2.5,64.4,9,517.8,0.3,0.3,0,22.5,0.3,0,4.4,84.4
