year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1961	235.1	714.5	392.1	201.4	0	20.5	7.4	106.6	0.3	27.9	281.1	223.8	4.1	358.4	323.6	251.2	0	13.2	14	93.4	0	16.4	166.8	61.6	400.3	938.9	458.1	131.2	0	32.3	6.6	83	0	14.2	315.6	411.5	49.9	771.8	518.6	200.5	0	37.8	3.6	94.8	0.5	14.2	380.3	135.9	1.6	124.9	380.5	69.9	0	27.4	62.5	81.4	3.3	0.8	28.2	101.6	43	258.9	476.2	76.7	0	35.1	10.7	49.3	0	3.3	202.2	267.1
1962	252.3	724.4	397.5	189	0	26.8	6	100.8	0.3	26.3	186	227.7	4.9	361.9	309.9	250.1	0	15.1	13.4	93.7	0.3	19.2	219.5	65.5	405.2	930.1	455.3	175.1	0	35.3	6.6	89.3	0.3	15.1	312.3	408.2	52.9	784.1	531.2	227.1	0	41.9	4.1	93.7	0.5	15.9	368.2	135.3	1.6	122.2	402.5	69.3	0	28.5	55.3	76.4	3.3	1.1	24.7	103.8	44.7	283.3	479.7	76.2	0	35.6	10.7	53.7	0	3.6	199.5	297.8
1963	267.9	738.6	396.7	180.5	0	28.5	7.1	75.3	0.3	23	201.9	212.9	5.2	364.1	305.5	244.4	0	12.1	12.6	86.6	0	17	177.8	68.5	396.7	942.7	440	188.5	0	35.3	8.5	90.1	0.5	15.6	301.4	406	53.4	800	534.5	236.4	0	39.2	4.1	95.1	0.5	15.6	364.7	149.6	1.4	119.5	381.1	69.3	0	27.7	53.4	71.8	4.1	1.1	26.8	105.8	46	301.4	488.5	87.9	0	35.9	11.5	51.8	0	4.1	183	329
1964	264.9	707.9	400.8	185.8	0	30.1	6.6	111.8	0.3	24.7	200.5	225.5	4.7	349.6	315.1	244.9	0	13.2	13.2	91.2	0	16.7	198.9	72.1	395.3	938.6	439.7	208.2	0	35.9	5.8	96.2	0.5	15.6	294.2	393.2	61.4	801.6	581.6	211	0	40.5	3.3	99.5	0.5	16.4	349.6	139.2	1.4	115.9	395.1	68.8	0	27.7	46.6	74	3.8	1.1	29.3	107.4	48.2	314	494.5	97.3	0	35.3	10.4	57.5	0	4.4	181.4	314.2
1965	265.8	717.3	410.1	177.8	0	32.9	6.6	101.9	0.5	23.3	306.6	222.2	5.8	355.1	317.8	241.4	0	13.2	11.8	85.8	0	16.7	193.7	74.5	386.3	956.2	438.1	181.9	0	36.4	6.8	91.2	0.5	15.3	280.8	393.2	62.2	811.2	595.1	218.9	0	43.3	3.3	95.1	0.8	17.8	331	134.5	1.6	111.8	365.2	71.2	0	27.1	54	80.5	3.3	1.1	34.8	109	47.1	329.9	478.6	100.5	0	34	10.4	61.4	0	3.8	175.1	329.6
1966	254.8	783.8	371.5	192.3	0	37.8	4.7	108.5	0.3	21.9	196.7	219.2	5.8	330.7	300.8	239.2	0	12.9	11.2	87.7	0	15.6	192.1	88.2	382.2	972.6	424.7	193.4	0	38.9	7.1	94.8	0.5	16.4	281.6	379.2	62.7	785.8	600.5	245.5	0	41.6	3.6	99.7	0.8	17.5	329.3	159.5	1.6	111.5	381.1	72.3	0	26	42.5	77.8	3.3	1.4	37.5	111.5	48.8	344.7	478.1	114	0	38.4	9	64.9	0	4.9	160.5	347.4
1967	266.6	752.6	380.3	201.1	0	38.4	4.7	110.1	0.5	18.9	240	229.9	5.2	344.1	285.8	255.9	0	14.2	11.8	83.8	0	14.5	192.3	89.9	378.9	1008.5	411.5	197.5	0	38.6	5.5	108.8	0.5	15.3	280.3	383	63.6	804.4	592.3	263.6	0	41.6	3.6	97	0.8	17	331.8	154.2	1.9	110.7	410.4	71.2	0	26	37	66	3.6	1.1	38.1	112.6	52.6	373.7	486.3	115.9	0	40.5	10.1	72.9	0	4.9	141.6	351.5
1968	272.9	815.3	389.6	202.2	0	38.9	4.4	108.2	0.3	19.7	244.4	219.5	5.2	334.5	287.4	240.8	0	16.2	11.8	81.6	0.3	14.5	195.6	92.1	385.2	1059.7	404.9	203.3	0	40.8	6	91.8	0.5	17.5	268.5	368.8	64.7	825.8	597.3	303	0	43.3	3.3	103.3	0.8	17.8	330.1	145.2	1.9	115.9	401.4	71.5	0	25.5	49.9	62.5	3	1.4	45.5	114	52.3	389.3	476.7	136.4	0	41.6	9	79.5	0.3	4.9	140	377.3
1969	272.3	814.2	373.7	239.7	0	40.5	4.4	108.2	0.5	17.5	288.5	227.1	6.3	334.2	281.4	251	0	16.7	11.8	95.9	0.3	14.5	189.9	94.2	372.6	1004.7	398.1	208.5	0	41.1	5.2	103.6	0.5	16.7	261.4	381.1	67.1	836.2	614.2	281.4	0	41.1	3.6	101.1	0.8	18.1	320.3	149.9	1.9	116.4	406.6	69.9	0	27.1	43.3	74.2	3.3	1.4	47.9	115.9	48.5	396.7	478.1	131.5	0	41.1	9.6	83.3	0	5.5	127.4	360
1970	280.5	779.2	398.1	259.7	0	37.5	3.6	117.5	0.3	19.2	278.6	225.2	4.7	333.7	294.8	259.5	0	17.3	11.8	87.9	0	15.1	206.6	96.7	370.4	1035.6	394	207.1	0	38.4	6.6	108.2	0.5	16.4	264.4	368.8	72.6	853.4	624.1	278.1	0	41.4	3	106	0.8	18.4	314.5	166.6	1.9	110.4	422.7	67.9	0	27.7	48.2	80	3.8	1.4	44.9	118.1	50.4	425.8	477.3	140.8	0	43.8	8.5	95.3	0.8	5.8	112.3	349.6
1971	263.8	769.6	390.1	264.9	0	37.5	3.8	117.3	0.5	18.4	245.5	217.5	6.3	344.4	303.3	241.6	0	17.5	12.6	95.9	0	15.6	230.1	98.4	361.9	1034.2	384.1	203.3	0	38.4	5.8	114.5	0.5	17.5	264.7	347.1	78.4	852.3	635.3	278.4	0	43.6	2.7	107.9	0.8	19.5	310.4	163	2.2	117.3	383.8	70.4	0	27.1	44.9	80.3	3.6	1.4	46.8	120	52.6	437.5	476.4	139.5	0	43.6	9.3	87.7	0.8	6.3	104.4	360.3
1972	249.3	757	372.1	240.5	0	37	3	120.3	0.8	20.3	201.4	212.6	6.6	338.4	303	246	0	18.6	12.9	100.5	0.3	14.5	221.4	99.7	364.1	1040.5	379.7	190.4	0	39.7	5.5	107.4	0.8	18.4	258.9	319.2	80.8	855.3	638.9	268.2	0	43.3	2.7	110.4	0.8	20	299.2	173.2	2.2	115.3	394	67.4	0	27.1	41.1	72.3	3	1.1	49	122.5	55.1	455.1	484.4	165.8	0	46.6	7.7	89	0.8	7.1	104.4	358.4
1973	227.7	769	372.9	222.2	0	40.5	2.7	98.6	0.5	20	202.5	220.8	8.2	315.9	304.1	257.5	0	17.8	12.6	102.7	0	13.7	235.3	99.5	351.8	1046.8	383.6	189	0	39.5	5.5	120	0.8	19.5	255.6	323	85.8	870.4	647.7	295.9	0	43.6	2.7	116.2	0.8	19.7	290.7	177.8	2.2	115.9	411.5	67.1	0	28.8	40.5	72.1	3.6	1.6	47.9	123.8	55.6	464.7	497.3	164.1	0	48.2	7.7	79.7	0.8	7.1	94	344.1
1974	248.5	818.9	379.2	294.2	0	36.4	2.7	119.5	0.8	18.6	242.2	215.1	9.3	293.4	316.7	247.4	0	18.9	12.6	112.3	0.3	15.1	234.5	101.1	351.8	1042.5	386	175.9	0	38.1	4.9	116.2	0.5	18.1	259.7	313.4	88.5	883.6	647.4	247.4	0	41.4	2.5	114.8	0.8	18.1	286.8	175.6	1.9	120.8	379.2	67.1	0	27.1	34.2	78.4	3.3	1.6	48.5	124.9	56.2	465.5	483.6	155.9	0	48.2	7.7	82.2	0.8	6.8	89	337
1975	260.5	857	386	261.4	0	37.3	2.7	111.8	0.8	20.5	175.9	240	8.8	296.4	302.7	260.8	0	17.5	14.5	119.2	0.3	15.1	246.6	104.7	359.7	1036.2	389.3	162.7	0	40	5.5	107.1	0.8	19.7	249	314.8	91.5	887.7	646	276.7	0	41.9	2.2	112.9	0.8	20.5	280.8	170.7	1.9	120	413.2	65.5	0	27.7	38.1	76.2	3.6	1.1	51.8	125.8	54.5	459.2	489.6	162.2	0	47.4	6.6	74	0.8	7.4	103	334.5
1976	269.3	830.7	378.9	225.8	0	36.4	2.5	105.2	0.5	20	177.3	208.8	9	314.2	316.2	255.9	0	18.6	12.6	127.7	0.3	13.2	249	130.7	351.2	1062.5	406.3	177	0	44.9	4.7	107.7	0.8	19.7	200	289	92.9	900.8	658.4	271.8	0	44.4	2.7	116.4	1.1	20.8	254.8	174.8	1.9	123.8	363	66.6	0	24.9	44.4	75.3	3	1.4	56.2	126.8	53.2	473.7	485.5	148.5	0	48.2	5.5	76.7	1.1	7.1	92.6	335.1
1977	274.2	827.9	377	238.6	0	37.8	2.7	99.2	0.8	17.8	189	189.6	9.9	320	304.4	249.9	0	20.5	12.3	126	0.3	14.5	261.4	126.8	325.5	1120.8	407.1	159.2	0	46.8	6.8	105.2	0.8	17.8	230.1	315.6	90.1	885.5	652.9	251.8	0	44.1	2.7	110.4	0.8	20.5	267.4	186.8	2.2	126	414.2	66.6	0	25.5	41.1	78.6	4.4	1.6	52.1	127.7	55.1	491.5	491	159.7	0	47.7	5.8	82.7	1.1	7.7	96.7	347.4
