year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1961	0	69.7	3.2	0.3	0	19.7	0.2	0	0	0.1	0.5	0.4	0	24.1	5.2	0.4	0	9.6	0.4	0	0	0.3	0.3	0.1	0	78.8	4	0.2	0	22.2	0.1	0	0	0.3	0.3	0.8	0	77.1	3.1	0.4	0	31.1	0	0	0	2.4	0.4	0.2	0	7.5	6.6	0.2	0	13.7	2.1	0.1	0.4	0	0	0.2	0	13.8	5.1	0.1	0	14.4	0.1	0	0	0.1	0.3	0.5
1962	0	69.4	3.1	0.3	0	25.5	0	0	0	0.1	0.4	0.4	0	24.6	4.6	0.4	0	11.2	0.3	0	0	0.3	0.5	0.1	0	80.5	4	0.3	0	22.8	0.1	0	0	0.3	0.3	0.8	0	77.2	3.1	0.5	0	34.3	0	0	0	2.7	0.4	0.2	0	7.4	7	0.2	0	14.4	1.9	0.1	0.4	0	0	0.2	0	15	4.9	0.2	0	15.2	0.1	0	0	0.1	0.2	0.6
1963	0.1	69.2	3.1	0.3	0	26.9	0.2	0	0	0.1	0.4	0.5	0	24.6	4.6	0.4	0	8.5	0.3	0	0	0.3	0.4	0.1	0	81.3	4.1	0.4	0	23	0.1	0	0	0.3	0.3	0.8	0	78.3	3.2	0.6	0	32.5	0	0	0	2.6	0.4	0.3	0	7.4	6.8	0.2	0	14	1.8	0	0.4	0	0	0.2	0	16.2	5.1	0.2	0	16.7	0.1	0	0	0.1	0.2	0.6
1964	0.1	61.6	3.2	0.3	0	28.9	0.1	0	0	0.1	0.4	0.4	0	24.3	5.2	0.4	0	9.3	0.3	0	0	0.3	0.4	0.1	0	81.1	3.8	0.4	0	24.2	0.1	0	0	0.3	0.3	0.8	0	78.9	3.3	0.5	0	33.3	0	0	0	2.7	0.3	0.2	0	7.3	7	0.2	0	13.8	1.4	0	0.4	0	0	0.2	0	17.6	5.5	0.2	0	16.5	0.1	0	0	0.1	0.2	0.7
1965	0.1	65.1	3.3	0.3	0	31.3	0.1	0	0	0.1	0.6	0.4	0	24	5	0.4	0	8.5	0.3	0	0	0.3	0.4	0.1	0	85.4	4.1	0.3	0	25.3	0.1	0	0	0.3	0.3	0.7	0	78.1	3.4	0.5	0	35.2	0	0	0	3.2	0.3	0.2	0	7	6.2	0.2	0	13.9	1.8	0.1	0.3	0	0	0.2	0	19.5	5.5	0.2	0	16	0.1	0	0	0.1	0.2	0.6
1966	0.1	70.4	3	0.4	0	36.9	0.1	0	0	0.1	0.4	0.4	0	23	4.8	0.4	0	8.6	0.3	0	0	0.4	0.4	0.2	0	83.9	3.9	0.3	0	26.9	0.1	0	0	0.4	0.3	0.7	0	78.4	3.3	0.5	0	33.7	0	0	0	3	0.3	0.3	0	7.1	6.7	0.2	0	13.4	1.4	0.1	0.4	0	0	0.2	0	20.6	5.8	0.2	0	18.4	0.1	0	0	0.2	0.2	0.7
1967	0.1	70	3	0.3	0	37.5	0	0	0	0.1	0.4	0.4	0	22.8	4.7	0.4	0	9.1	0.3	0	0	0.3	0.4	0.2	0	87.8	3.8	0.4	0	27.6	0.1	0	0	0.4	0.3	0.7	0	80.3	3.3	0.6	0	34.2	0	0	0	3	0.3	0.3	0	6.6	7.5	0.2	0	13.4	1.1	0	0.4	0	0	0.2	0	21.5	5.6	0.2	0	19.5	0.1	0	0	0.1	0.2	0.9
1968	0.1	72.9	3.1	0.5	0	37.7	0.1	0	0	0.1	0.5	0.4	0	22.7	4.7	0.4	0	11	0.3	0	0	0.3	0.4	0.2	0.1	90.1	3.3	0.5	0	29.8	0.1	0	0	0.7	0.3	0.7	0	81.4	3.5	0.8	0	34.6	0	0	0.1	2.8	0.3	0.3	0	7	6.9	0.2	0	13.5	1.7	0	0.3	0	0	0.2	0	22.4	5.7	0.3	0	20.2	0.1	0	0	0.2	0.2	0.9
1969	0.1	74.4	3	0.5	0	38.9	0.1	0	0	0.1	0.5	0.5	0	22.3	4.3	0.4	0	11.5	0.3	0	0	0.3	0.4	0.2	0	90.7	3.3	0.4	0	29.5	0.1	0	0	0.7	0.3	0.7	0	82.5	3.5	0.7	0	33.2	0	0	0.1	2.8	0.3	0.3	0	7.1	7.1	0.2	0	13.6	1.3	0	0.3	0	0	0.2	0	25	5.6	0.3	0	20.4	0.1	0	0	0.2	0.2	0.9
1970	0.1	70.7	3.3	0.5	0	35.9	0	0	0	0.1	0.5	0.4	0	22.6	4.4	0.4	0	12.8	0.4	0	0	0.3	0.5	0.2	0.1	92.6	3.5	0.4	0	27.7	0.1	0	0	0.7	0.3	0.7	0	86	3.5	0.6	0	33.2	0	0	0.1	2.8	0.3	0.3	0	6.7	7.4	0.2	0	14.2	1.5	0.1	0.4	0	0	0.2	0	26.1	5.3	0.2	0	22.1	0.1	0	0.1	0.2	0.1	0.6
