year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,cereals_barley,cereals_cereals-other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed-oil,oilcrops_groundnut,oilcrops_oilcrops-other,oilcrops_olives,oilcrops_palm-oil,oilcrops_rape-and-mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_cloves,spices_pepper,spices_pimento,spices_spices-other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,stimulants_cocoa-beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other,
1961,813.2,3380,4520.8,52422.5,6784.4,1041.1,8121.6,2304.4,271.2,10901.1,1138.4,3013.4,22363.6,1623,8938.6,330.1,453.7,8370.4,493.2,596.4,3040.8,568.2,0,4231.2,172.6,764.4,262.5,352.3,310.4,78.6,91.5,341.9,171.5,406.8,1187.1,260.3,1397.3,0.3,10.4,94.5,83.8,12870.4,10863.3,5590.7,4123.8,3330.7,153.2,518.6,212.9,9777.8,208.5,1240.3,2771.5,15702.2,
1962,821.9,3443,4654.8,52709.6,6867.9,1110.7,8131.8,2310.4,259.2,11018.9,1154.5,3120.5,22349.3,1956.7,8966.3,341.1,440.8,8093.7,505.8,623,3230.1,574.5,0,4266,177.5,829,273.2,320.8,320.5,89,101.9,384.9,184.1,404.7,1163.6,249.6,1404.9,0.3,11.8,98.1,86.6,12582.5,10477.8,5684.4,4172.6,3257.5,155.1,549.3,216.2,10021.6,218.4,1264.4,2828.8,15854.2,
1963,860.3,3350.7,4382.7,53265.8,7014.2,1135.3,8090.4,2337.5,253.4,11275.9,1143.6,3092.6,22440.8,1969.3,8906.8,343.8,471,8145.8,536.7,664.7,3210.1,571.2,0,4158.6,174,860.8,282.2,332.3,337.3,80.3,103.3,403.3,201.4,395.1,1208.5,260.8,1411.5,0.5,12.1,101.6,88.8,12462.7,10601.1,5670.4,4071,3180.5,153.7,553.4,214,9961.6,211.5,1325.5,2955.9,16172.6,
1964,883.6,3317.5,4686.8,53843.8,7355.1,1121.6,8209.9,2426.8,264.9,11444.9,1046.6,3038.9,22765.2,2137.3,9230.7,351.5,472.1,8212.1,544.1,647.7,3429.9,577,0,4163.8,179.2,830.1,281.9,354.2,338.1,78.9,100.8,424.7,213.7,394.5,1232.9,264.7,1397.3,0.8,11.8,103.6,88.5,12350.1,10657.5,5561.4,4102.7,3163.3,158.4,562.5,212.9,10154.8,243,1362.7,3094.8,16276.4,
1965,905.2,3143.3,4818.9,54436.7,7486,1091.5,8206.8,2328.5,296.7,11467.4,1063.6,2888.8,23567.9,1962.5,9178.4,354.8,467.9,8201.6,542.5,603.6,3409.6,584.4,0,4127.9,182.7,879.5,304.4,358.6,331.8,96.7,100.3,429.6,226.3,381.6,1227.9,267.4,1401.1,1.1,11.8,101.6,85.2,12776.2,10522.7,5584.9,4091.5,3155.6,168.8,567.1,211.2,10559.7,243,1340.8,3141.1,16045.2,
1966,942.7,3312.1,4911.8,55634.2,7763.8,1065.8,8152.9,2396.2,267.1,11566.8,1009.6,2874.8,23537,2033.2,9255.6,370.7,452.6,8551,561.4,584.1,3567.7,634.5,0,4065.8,175.9,876.7,301.9,350.4,343.8,91.5,95.9,454,259.2,401.9,1263.6,271.5,1364.9,4.4,14,106,89.6,12342.7,10432.1,5628.2,4059.7,2972.6,171.2,607.1,218.6,10737.3,264.4,1379.5,3266.6,16235.6,
1967,917.5,3409.3,4861.9,56310.4,7959.5,967.9,8351.5,2369,239.2,11321.1,983.3,2913.2,23629.3,2398.9,9580.5,370.4,457.3,8426.6,575.1,672.1,3670.4,691.8,0,3955.3,167.4,869.3,330.1,353.4,354,110.4,95.9,463.8,303.8,417.8,1291.8,262.2,1383.6,1.4,15.6,107.7,90.1,12309.3,10473.4,5516.4,3889.9,3107.9,166.8,628.8,209.3,10860,266.6,1414.8,3294.2,16476.4,
1968,947.4,3358.9,5057,57353.2,8040.5,940.3,8240.8,2370.1,243,11424.1,946,2881.4,23846.3,2137,9569.6,361.6,446,8612.3,598.1,657.5,3754.5,680.3,0,3937,166.6,886.8,351.2,375.6,351.8,119.7,105.2,472.1,339.7,414,1257.3,250.7,1334.5,0.5,14.8,106.6,90.7,12299.2,10421.9,5586.8,3811.5,3278.4,168.8,639.7,216.2,11014.2,308.5,1348.5,3380.3,16478.6,
1969,974.8,3313.2,5072.1,58006.6,8567.9,944.9,8326.8,2411.8,229.6,11534,910.7,2744.1,24000.5,2322.7,9664.4,347.4,445.2,8355.9,583.3,680,3708.5,700.5,0,4017.8,183.3,863.6,335.6,370.7,366.3,115.1,107.7,515.9,338.1,430.7,1224.4,243.8,1350.4,0.8,13.4,103.3,86.6,12103,10545.5,5609,3868.8,3124.4,170.1,656.2,220.3,11157.5,335.9,1391.5,3603.8,16354.5,
1970,1007.7,3513.7,4935.3,59152.6,9117.5,917.5,8129.6,2392.6,217.3,11700.3,887.4,2706,24038.1,2138.1,9647.4,363.8,453.4,8675.1,590.1,662.5,3896.2,696.2,0,4023,169.3,861.1,337.5,366,361.4,124.1,112.9,612.1,315.6,447.1,1225.5,239.5,1341.1,0.8,12.9,104.7,91,12126.3,10438.9,5484.4,3904.7,3111.2,192.6,626.3,217.3,11352.6,350.4,1491.5,3573.7,16555.6,
1971,1047.4,3641.9,4931.2,59783.8,9395.9,866.3,8159.5,2337.5,200.5,11881.1,880.8,2635.6,24144.9,2281.9,9684.9,366.3,426.3,8507.4,574,727.7,4010.7,680,0,4087.4,185.8,842.2,326.3,426.8,380.3,135.3,123,647.4,295.9,434.5,1252.1,239.5,1343.6,1.1,15.1,106.3,94.8,11978.4,10567.7,5439.5,3751.2,3071.5,191.8,640,214.8,11390.1,364.7,1502.5,3751.5,17210.4,
1972,1043,3451.5,4678.1,60019.7,9391,870.7,8095.3,2203.8,224.7,11790.4,839.2,2401.4,24304.9,2106.3,9542.5,360.3,408.8,8621.4,653.2,733.2,4142.7,662.5,0,4120.3,189.6,853.7,344.9,424.4,389.3,154.5,112.9,625.2,304.1,423,1223,231.5,1367.4,1.9,15.6,106,93.4,11741.6,10189.3,5275.1,3555.6,3034.8,205.8,646.6,217.3,11403.3,365.8,1474.5,3860.3,16895.9,
1973,1075.6,3594,4578.4,60218.4,9848.2,885.2,8060.8,2342.5,210.1,11882.5,788.2,2370.4,24968.8,2207.9,9582.7,363.3,454.5,8652.9,732.6,767.1,4267.1,670.7,0,4159.7,197.5,828.5,352.3,393.2,367.7,154,109.3,677.3,343.3,423.6,1186.6,212.1,1332.1,2.2,13.4,103.6,101.6,11863,10323.6,5304.9,3546,3019.2,204.9,653.7,224.4,11438.4,359.5,1498.1,4009.9,16725.8,
1974,1089,3627.4,4666,61251.2,9918.4,798.9,8158.9,2296.2,190.1,12208.5,801.4,2477.5,24498.4,2119.7,9539.5,361.4,468.5,8526.3,823,740.8,4123.6,727.7,0,4095.1,219.2,813.2,359.2,411,395.3,147.7,112.3,724.4,329.3,423.8,1146.8,215.1,1330.4,1.1,15.1,100,102.7,11562.5,10266.8,5263.8,3603,2906.6,204.1,642.7,231.5,11367.1,413.7,1616.2,4394.5,17208.8,
1975,1151.5,3406.3,4792.9,61378.1,10079.2,814.8,8291.5,2135.3,190.7,12072.1,761.9,2360.5,24597.5,2347.4,9767.4,366.6,434,8363.6,874,767.4,4117.5,762.2,0,4135.9,200.3,801.4,351.8,398.1,432.1,149.3,105.2,764.9,325.2,433.4,1194.2,208.2,1337.5,1.1,14.8,103,100.8,11649.9,9958.4,5257,3728.2,2818.6,205.8,663.3,244.1,11079.5,372.1,1560.5,4675.6,17502.7,
1976,1180.8,3413.7,4854,63046,10216.7,895.3,8318.9,2007.1,201.6,12186.8,731,2420.3,24705.5,2374.8,9775.3,406.6,402.7,8480,987.1,763,4008.5,806,0,4090.1,185.2,829,355.3,425.2,446,149.9,109.6,797.8,343,442.2,1194,207.4,1360.5,1.6,15.6,112.6,103,11492.1,9862.2,5100.3,3714,2836.7,209.9,666,243.6,11447.7,401.1,1605.2,4226.3,17516.2,
1977,1226,3334.2,4602.7,64088.2,10344.4,895.3,8184.9,1888.8,208.8,12234.2,715.6,2263.3,25339.7,2297.3,9746.8,410.4,431.5,8161.9,881.6,769.6,4277.5,811.5,0,4058.9,194.5,826.6,354.8,407.4,480,137.3,101.6,807.7,351,437.5,1239.5,219.2,1331.2,2.5,17.3,116.2,109.3,11302.7,10063.6,5123.8,3569.9,2685.8,204.4,581.9,241.1,11684.4,412.3,1714,4266.8,17813.2,
