year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,cereals_barley,cereals_cereals-other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed-oil,oilcrops_groundnut,oilcrops_oilcrops-other,oilcrops_olives,oilcrops_palm-oil,oilcrops_rape-and-mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_cloves,spices_pepper,spices_pimento,spices_spices-other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,stimulants_cocoa-beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other,
1961,0,15.5,10.9,3441.5,100.7,80.6,644.3,163.1,22.9,763,79.5,267.8,1864.4,4.1,70.8,1.4,6.6,45.7,1.2,1.3,15.5,1,4.3,47.6,0,110.6,10.4,1.4,0.5,2.1,10.6,38,0.7,27,257.4,58.4,303.1,0,0.4,10.9,8.2,94.9,178.6,86.3,44.8,53.6,10.9,30.8,20.7,3.7,0.1,15.8,25.2,205.1,
1962,0,16.1,11.2,3475,102.4,85.5,645.5,164.2,21.5,771.5,81.1,276.8,1861.4,4.9,71.2,1.4,6.5,43.9,1.1,1.2,16.5,1,4.1,47.6,0,120.8,10.6,0.7,0.4,2.5,11.9,37,0.6,26.1,251.9,56.2,305.5,0,0.4,11.3,7.8,93.8,171.9,87.4,45.2,52.6,11.2,33.1,20.9,3.7,0.1,16.3,25.6,205.6,
1963,0,15.7,9.2,3511.8,97.8,87.5,642.2,165.8,21.1,789,79,274.6,1867.2,5,70.9,1.4,7.2,44.4,1.2,1.5,16.6,0.9,4.9,46.9,0,118,10.9,0.8,0.4,2.1,11.7,35.9,0.9,26.4,261.5,58.8,307.2,0,0.2,11.2,8.4,92.5,173.6,87.3,44.2,51.3,11,33.2,20.4,3.8,0.1,16.8,26.6,208.4,
1964,0,15.5,10.8,3551.3,98.4,86,653.5,172.6,21.7,803.2,72.2,269.2,1893.2,5.2,73.6,1.4,6.9,44.8,1.2,1.3,18.5,0.8,5.4,46.8,0,119.9,11,1.2,0.5,2.5,11.8,37.5,0.7,25.6,266.7,59.5,303.3,0,0.3,11.2,8.9,91.8,175.2,85.5,44.9,51,11.3,33.4,20.5,3.7,0.1,17.5,27.8,210.5,
1965,0,15,11.2,3592.1,98.6,83.8,652.4,165.4,24.6,805.7,73.2,255.5,1918,4.7,72.9,1.5,7,44.4,1.1,1.4,18.5,0.8,6.8,46.5,0,124.2,11.3,1.3,0.3,1.7,11,37.3,0.9,25.7,265.5,60.5,304.5,0,0.1,11.6,8.2,94.6,173.2,85.7,45.3,50.9,12.7,33.4,20.6,4,0.1,17,28.5,206.2,
1966,0,15.9,11.3,3693.6,100,81.5,647.2,170.6,22.3,811.4,69.6,254.9,1911,5,74.4,1.5,6.9,46.7,1.4,1.3,18.9,0.9,7.5,45.7,0,125.9,10.8,1,0.5,1.9,10.3,38.6,0.8,26.1,273.4,61.3,297.2,0.2,0.3,11.6,8.7,92.3,171,86.4,44.2,48,13,36,21.3,4,0.1,17.5,29.2,211.8,
1967,0,15.7,11,3726.8,99.1,74.2,662.7,167.8,19.5,794.6,67.7,257.9,1916.5,5.6,76,1.5,6.9,44.7,1.4,1.5,19.2,1.1,7.6,44.6,0,123.7,11.9,1.2,0.6,2.1,9.8,42.4,1.1,27.7,279.4,58.6,299.9,0,0.6,11.8,8.7,91.8,172.2,83.9,42.6,50.2,12.1,37.6,20.2,3.6,0.1,17.9,29.4,212.1,
1968,0,15.4,11.8,3800.7,94.9,72,654.7,166.2,19.6,802.5,65.4,254.6,1936.4,5.6,76.7,1.5,6.5,45.1,1.5,1.5,19.7,0.9,8.9,44.9,0,127.2,11.6,1.3,0.7,2.4,10.7,43,1.4,27.8,272.7,56.3,291.2,0,0.4,11.4,8.8,91.1,171.4,85.2,42,53.2,13,38.2,21.3,3.3,0.1,16.7,30.9,213.4,
1969,0,15,12.3,3848.3,99,72.5,660.4,170.3,19,809.4,63,243.1,1952.2,5.7,76.8,1.4,6.7,44.2,1.5,1.8,19.8,1,9,45.6,0.1,123.8,12,1.3,0.8,2.6,11.8,41.5,1.4,29.3,265.2,54.5,293.9,0,0.2,10.9,8.2,89.4,174.5,85.2,42.6,50.6,13.1,38.9,21.7,3.7,0.1,17.3,32.7,212.5,
1970,0,15.6,11.4,3946.7,101.5,70.4,645.9,168.2,17.8,822.3,61.4,239.5,1959.3,5.2,76.6,1.4,6.8,46.4,1.3,1.6,19.9,1,9.2,46.2,0,128.3,11.1,0.9,0.7,2.1,11.7,42.9,1,29.5,265.3,53.6,291.4,0,0.4,11.5,8.6,89.8,172.5,82.6,43.5,50.6,14.7,36.7,20.7,3.2,0.1,18.8,32.7,216.8,
1971,0,16.4,10.9,3967.5,101.4,64.2,648.6,163.9,16.3,834.4,60.9,233.5,1962.3,5.9,77.5,1.4,6.4,45.7,1.3,1.7,20.5,1.1,9.2,46.7,0,129.6,10.7,1.4,0.8,2.1,13.2,43.1,0.9,29.9,271.1,53.4,292.4,0,0.5,11.8,9.5,88.5,175.3,82.1,42.2,50.2,14.2,37.4,20.7,2.9,0.1,18.8,33.8,220,
1972,0,15.4,9.9,4001.7,99.6,65.7,644,155,18.3,827.6,57.8,212.5,1972.9,5.2,76.5,1.3,5.9,45.4,1.6,1.9,21.6,0.9,8.9,47.2,0,128.6,11.5,1.3,0.9,2.3,12.4,41.4,1.3,28.8,265.1,52.1,297.9,0.1,0.3,11.6,9.3,87.1,167.5,80.1,39.1,49.2,15.6,37.9,21.3,3,0.1,17.9,35.3,217.2,
1973,0,16,8.9,3983.3,102.4,66.4,639.5,166.4,17.6,835.2,54.7,209.5,2010.1,5.8,77.1,1.4,6.7,45.8,1.9,1.4,22.5,0.9,10.5,47.1,0,121.4,11.5,0.9,0.8,2.7,12.6,46.4,1.7,27.8,256.2,47.5,290.6,0.1,0.3,11.2,10.3,87.5,169.8,80.3,39.1,49,15,38.4,21.8,2.9,0.1,18.7,36.5,218.4,
1974,0,15.9,9.5,4032.7,98.4,59.7,645.8,161.2,16.1,857.4,55.3,219,1988.9,5.2,76.5,1.3,7.1,44.8,2.1,1.7,21.5,1.2,13.4,47.1,0.1,123.2,11.5,1.3,0.8,2.9,13.4,48.4,1.9,28.5,248.1,47.9,290,0,0.6,10.6,10.6,85.2,168.7,79.1,40.1,47.1,14.7,37.4,22.9,3.2,0.1,20.4,39.3,224.3,
1975,0,14.8,10,4111.4,101.5,61,658,148,16.1,847.3,53.1,208.4,1997,5.8,78.7,1.3,6.3,44.1,2.2,1.5,21.2,1.5,13.6,47.3,0,121,12.6,1.1,0.9,3.1,12.4,47.6,1.9,29.8,258.6,46.4,292.8,0,0.5,11.5,10.1,85.7,163.1,79.7,41.4,46,14.3,38.4,23.7,3,0.1,19.7,41.9,225.4,
1976,0,15.2,10.1,4230.7,98.3,66.5,658.8,139,16.5,855.3,51.3,213.8,2001,6,78.6,1.5,6,44.9,2.4,1.7,20.4,1.7,14.5,46.3,0.1,125.3,12.4,1.4,0.7,2.7,13.5,54.1,2.5,30.1,258.3,46.8,297.4,0,0.7,12,10.4,84.5,162.7,77.1,41.4,46.2,14.9,38.7,23.8,3,0,20.1,38.6,226.9,
1977,0.1,15,9.5,4272.6,92.1,66.7,644.7,131.8,17.1,858.1,49.9,199.6,2047.4,5.3,78.3,1.5,6.5,43.1,2.2,1.9,21.2,1.5,15.2,46.8,0.1,124.8,14.6,1.3,0.8,2.7,12.3,45.5,2.1,30.7,268.9,49.4,291,0,0.5,11.9,10.8,82.3,164.8,77.4,39.6,43.7,14.1,33.9,23.6,3.2,0,21.6,38.4,230.9,
1978,0,14.2,10,4396.1,94.3,60.5,651.6,119,17.3,859.1,48.6,206.2,2073.1,5.8,78.4,1.4,6.3,43.1,2.1,1.4,20.1,1.6,16.9,46.1,0.1,120.3,11.3,1.6,0.6,2.9,12,47.9,2.3,30.9,263.1,46.3,299.9,0,0.9,12.2,12,81.5,165.5,75.1,41.9,47,14.2,37,22.9,3.1,0,21.4,43.2,235.5,
1979,0,15.1,10.1,4406.1,96.1,60.4,660.4,120.3,19.2,887.8,47.8,202.4,2056.3,6.2,80.4,1.6,6,43.7,1.6,1.4,20.9,1.6,18,45.5,0.1,121.8,12.1,1.1,0.8,3.3,10.9,51.1,1.7,31.1,259.5,46,294.4,0,0.8,12.6,12.6,78.4,165.4,76.3,39.7,45.9,14.4,40,24.4,3.1,0.1,22,43.7,238.3,
1980,0,14.3,10.3,4486.1,88,64.4,671.4,118.8,15.6,886.7,47.4,198.2,2092.9,6.1,78,1.5,5.5,43.9,2.4,1.7,23.4,1.9,19.3,44.3,0.1,112.7,11.8,2,0.7,3.1,10.7,55.3,2.2,31.1,257.9,52.2,292.5,0,0.9,11.8,11,77.7,164.7,74.4,38.9,45.7,15.1,41.1,23.9,3,0.2,21.8,43.9,240.5,
