year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,cereals_barley,cereals_cereals-other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed-oil,oilcrops_groundnut,oilcrops_oilcrops-other,oilcrops_olives,oilcrops_palm-oil,oilcrops_rape-and-mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_cloves,spices_pepper,spices_pimento,spices_spices-other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,stimulants_cocoa-beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other,
1961,2389,1424,3054,58202,5194,3020,25591,6592,595,39083,3094,9166,61246,776,6392,86,734,3744,96,101,891,186,122,8430,1523,5197,2026,2087,2767,656,621,2472,1477,1069,4011,881,4739,1,27,276,279,12946,7400,4908,3936,3263,338,234,75,32874,543,485,521,3821,
1962,2420,1490,3138,58418,5299,3218,25622,6613,568,39531,3153,9499,61220,878,6449,87,714,3638,98,110,931,193,125,8444,1550,5612,2118,2130,2833,729,699,2886,1593,1054,3927,851,4764,1,31,283,289,12688,7125,4977,3979,3188,368,250,77,33773,558,493,532,3863,
1963,2527,1434,2958,58879,5218,3287,25488,6682,551,40453,3097,9401,61449,905,6383,88,774,3662,107,116,931,193,131,8279,1520,5908,2172,2111,2977,651,708,3061,1729,1051,4078,887,4775,1,26,279,292,12552,7213,4953,3885,3114,369,246,78,33454,551,519,559,3916,
1964,2594,1429,3181,59503,5350,3230,25912,6942,568,41065,2837,9232,62380,985,6616,90,765,3689,110,112,1014,200,150,8218,1569,5616,2172,2332,3003,647,708,3229,1850,1032,4161,902,4727,2,30,284,298,12481,7272,4862,3926,3099,390,253,75,34107,612,528,581,3943,
1965,2651,1360,3245,60058,5393,3147,25901,6656,647,41147,2861,8741,63244,890,6566,91,764,3660,106,100,998,203,190,8206,1604,5970,2366,2300,2920,827,701,3271,1949,1007,4145,912,4744,4,28,281,291,12861,7170,4878,3912,3092,415,253,77,35397,626,528,588,3874,
1966,2769,1433,3295,61172,5511,3080,25705,6877,586,41515,2716,8703,63030,947,6630,94,743,3780,114,95,1023,220,216,8368,1537,5943,2342,2354,3009,778,660,3464,2237,1044,4267,924,4620,13,30,287,306,12483,7112,4912,3884,2914,447,275,78,36078,677,536,617,3984,
1967,2693,1491,3257,61624,5527,2781,26315,6774,509,40620,2642,8825,63303,1047,6894,93,745,3730,115,117,1056,243,219,8100,1494,5892,2557,2319,3085,934,674,3495,2618,1087,4360,894,4684,4,43,294,309,12436,7148,4816,3719,3046,458,285,75,36590,686,556,623,4032,
1968,2777,1472,3404,63061,5420,2711,26008,6751,520,40972,2558,8701,63940,992,6881,93,726,3807,121,113,1081,235,233,7730,1474,6001,2796,2435,3067,1004,744,3555,2941,1101,4243,855,4544,2,34,294,314,12388,7095,4886,3650,3210,458,290,79,37191,776,523,639,4037,
1969,2865,1461,3414,63703,5722,2723,26257,6890,491,41381,2455,8316,64551,1030,6925,87,728,3698,118,112,1073,245,254,7804,1593,5852,2627,2376,3184,970,747,3954,2921,1156,4139,826,4588,2,32,280,297,12151,7195,4877,3703,3060,516,297,79,37655,818,542,682,4020,
1970,2959,1553,3324,64993,5953,2635,25707,6841,464,41989,2392,8184,64809,993,6887,93,746,3822,121,110,1112,242,260,7723,1491,5748,2654,2499,3161,1046,794,4758,2734,1158,4131,814,4559,2,33,284,319,12168,7127,4770,3738,3044,610,278,81,38304,820,584,677,4104,
