year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,25,2,14,921,141,10,3,0,14,45,316,0,826,15,0,0,1,43,0,1,1,0,0,16,9,24,41,6,3,32,2,16,55,15,0,8,4,0,0,1,1,0,197,0,0,0,4,1,0,442,0,7,4,33
1962,22,2,14,919,147,14,4,0,13,51,345,0,845,16,0,0,0,21,0,1,1,0,0,17,3,31,8,1,0,57,0,11,98,10,0,9,5,0,1,1,1,0,185,0,0,0,3,1,0,441,0,8,5,34
1963,20,1,18,917,155,15,4,0,11,45,340,0,849,17,1,0,10,33,0,1,1,0,0,11,10,37,13,0,0,52,0,11,82,14,0,8,6,0,1,2,1,0,208,0,0,0,4,1,0,441,0,11,6,36
1964,19,1,20,927,167,13,4,0,6,50,287,0,897,16,1,0,7,27,0,1,1,0,0,13,4,32,34,0,0,24,0,13,69,14,0,11,6,0,1,1,2,0,219,0,0,0,3,1,0,430,0,9,6,37
1965,22,2,17,977,176,18,3,0,9,50,253,0,925,19,2,0,12,27,0,1,2,0,0,10,8,30,34,0,0,14,6,29,60,10,1,5,6,0,1,1,2,0,172,0,0,0,3,1,0,430,0,9,5,34
1966,26,2,18,969,179,15,5,0,11,51,250,0,896,23,2,0,11,37,0,1,2,0,0,8,7,36,29,0,2,23,0,19,74,12,1,5,5,0,0,2,2,0,205,0,0,0,5,1,0,430,0,10,5,38
1967,29,2,21,992,175,19,5,0,14,47,244,0,871,19,2,0,0,26,0,1,2,0,0,8,6,15,8,0,0,71,0,7,89,14,1,5,6,0,0,1,2,0,221,0,0,0,4,1,0,422,0,11,6,37
1968,37,2,23,1004,180,14,4,0,12,47,229,0,876,18,3,0,5,32,0,1,3,0,0,10,5,23,8,0,0,68,0,7,99,12,0,5,3,0,1,1,2,0,208,0,0,0,4,1,0,452,0,13,6,36
1969,46,2,26,1005,187,14,4,0,9,45,211,0,839,18,3,0,14,32,0,1,3,0,0,1,0,11,12,1,0,90,0,8,99,11,0,6,4,0,1,2,2,0,187,0,0,0,6,1,0,446,0,10,5,34
1970,48,1,26,1006,188,9,4,0,5,45,203,0,825,18,3,0,12,31,0,1,4,0,0,1,0,14,42,1,5,52,0,13,99,9,0,4,3,0,1,1,2,0,190,0,0,0,6,1,0,435,0,11,5,33
1971,48,1,27,1023,196,8,4,0,5,49,196,0,822,15,3,0,0,20,0,1,4,0,0,2,9,13,21,1,0,68,0,18,97,9,1,5,3,0,1,1,1,0,200,0,0,0,4,2,0,430,0,10,5,30
1972,52,1,25,1028,197,5,4,0,5,48,190,0,814,12,4,0,0,22,0,1,6,0,0,2,0,13,71,1,5,14,0,24,102,9,0,3,2,0,1,1,2,0,194,0,0,0,5,1,0,433,0,11,5,31
1973,54,1,33,1035,195,4,4,0,10,45,184,0,802,11,4,0,0,28,0,2,7,0,0,2,0,12,25,0,0,67,0,15,116,10,0,3,3,0,1,1,3,0,195,0,0,0,4,1,0,443,0,10,5,31
1974,55,1,24,1050,192,4,5,0,10,45,180,0,793,23,5,0,0,25,0,2,6,0,0,7,1,16,14,0,1,75,0,18,96,10,0,4,3,0,0,1,3,0,199,0,0,0,4,2,0,443,1,12,5,33
1975,58,1,30,1073,193,2,5,0,9,47,179,0,795,16,6,0,0,24,0,2,6,0,0,6,1,15,21,0,3,64,0,13,100,12,1,6,6,0,1,2,2,0,177,0,0,0,5,2,0,436,1,9,5,32
1976,58,1,28,1068,189,2,5,0,8,51,176,0,796,15,7,0,0,29,0,2,5,0,0,5,0,12,13,0,0,80,0,15,103,9,0,7,7,0,1,1,1,0,178,0,0,0,4,2,0,438,0,6,5,28
1977,71,1,30,1073,181,1,5,0,6,47,180,0,761,21,6,0,0,21,0,1,5,0,0,2,0,5,20,0,0,81,0,13,108,7,1,6,6,0,1,1,3,0,174,0,0,0,4,2,0,415,1,10,6,31
1978,74,1,30,1085,174,1,5,0,6,46,178,0,781,23,7,0,0,26,0,1,4,0,0,1,0,0,39,0,2,91,0,8,95,11,1,3,4,0,1,1,4,0,162,0,0,0,4,2,0,446,1,9,5,31
1979,66,1,27,1082,185,0,6,0,3,51,173,0,772,23,7,0,0,18,0,1,5,0,0,2,0,8,23,0,2,90,0,16,101,13,1,3,4,0,1,1,2,0,153,0,0,0,4,2,0,447,1,7,6,33
1980,71,1,31,1119,186,0,5,0,6,45,177,0,764,30,5,0,0,19,0,1,5,0,0,2,0,4,64,0,0,61,0,16,95,11,1,4,5,0,0,1,1,0,122,0,0,0,4,2,0,435,0,10,4,29
