year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1961	0.1	65.3	26.7	0.9	0	0.1	1.6	0	0	2.6	5.9	2.4	0	22.3	17.6	2	0	0.1	3	0.4	0	1.2	2	0.6	0.2	57.4	31.1	0.8	0	0.7	1.5	0	0	0.8	5	5.5	0.1	45	22.8	1.1	0	1	0.9	0	0	0.9	6	1.9	0	6.1	29.8	0.3	0	0.8	12.7	0.4	0.4	0.1	0.3	1.4	0.1	24.4	31.1	0.3	0	10.5	2.3	0	0	0.2	1.4	3.5
1962	0	66	26.8	0.9	0	0.1	1.2	0	0	2.5	3.6	2.4	0	23	16.6	1.9	0	0.1	3	0.4	0	1.3	2.8	0.7	0.2	58.1	30.9	0.9	0	0.8	1.5	0	0	0.9	4.9	5.5	0.1	45.9	22.8	1.1	0	1.7	0.9	0	0	1.1	5.9	1.8	0	6.1	31.5	0.3	0	0.8	11.3	0.3	0.4	0.1	0.2	1.4	0.1	26.3	30.9	0.3	0	9.7	2.3	0	0	0.3	1.4	3.9
1963	0.1	66.3	26.9	0.9	0	0	1.7	0	0	2.2	4	2.2	0	23.1	16.6	1.9	0	0.1	2.8	0.4	0	1.1	1.9	0.7	0.2	58.5	29.7	1	0	0.8	1.9	0	0	1	4.8	5.4	0.1	46.1	22	1.2	0	1.3	0.9	0	0	1	5.8	2	0	6	29.9	0.3	0	0.8	11	0.3	0.4	0.1	0.2	1.5	0.1	27.3	31	0.3	0	9.6	2.3	0	0	0.3	1.3	4.3
1964	0.1	56.7	27.3	0.9	0	0	1.5	0	0	2.4	4.1	2.5	0	22.6	17.8	1.9	0	0.2	2.8	0.3	0	1.2	2.6	0.7	0.2	59	28.7	1.1	0	0.8	1.3	0	0	0.9	4.6	5.3	0.1	46.4	24.5	1.1	0	1.1	0.7	0	0	1	5.6	1.9	0	6	31.2	0.3	0	0.8	9.6	0.4	0.5	0.1	0.3	1.5	0.1	25.9	30.9	0.5	0	9.5	2.1	0	0	0.3	1.3	4
1965	0.1	58.9	27.2	0.9	0	0.1	1.5	0	0	2.1	6.6	2.4	0	22.5	17.6	1.9	0	0.5	2.7	0.3	0	1.1	2.3	0.8	0.2	59.7	28.7	1	0	0.9	1.5	0	0	0.9	4.4	5.2	0.1	47.1	24.8	1.1	0	1.6	0.8	0	0	1.2	5.3	1.8	0	5.8	28.8	0.3	0	0.8	11.1	0.4	0.4	0.1	0.4	1.5	0.1	29.7	29.9	0.5	0	9.3	2.3	0	0	0.3	1.3	4.1
1966	0.1	65	24.7	0.9	0	0.1	1.1	0	0	2	4	2.4	0	21	16.9	1.9	0	0.6	2.4	0.3	0	1.1	2.2	0.9	0.2	59.9	27.6	1.1	0	0.9	1.7	0	0	1	4.4	5.1	0.1	46.8	24.5	1.2	0	1.4	0.8	0	0	1.2	5.2	2.1	0	5.9	30.3	0.3	0	0.8	8.7	0.4	0.3	0.1	0.3	1.5	0.1	30.6	29.5	0.6	0	9.9	1.9	0	0	0.4	1.2	4.5
1967	0.1	65.3	25.3	0.9	0	0.1	1	0	0	1.8	4.7	2.4	0	21.5	16.4	2	0	0.6	2.5	0.3	0	1	2.3	0.9	0.2	62	26	1	0	0.9	1.2	0	0	0.8	4.3	5.2	0.1	48.2	23.9	1.2	0	1.5	0.8	0	0	1.2	5.3	2	0	5.7	32.5	0.3	0	0.8	7.5	0.3	0.4	0.1	0.4	1.5	0.1	32.5	29.1	0.6	0	10.1	2.1	0	0	0.4	1.1	4.4
1968	0.1	68.9	25.5	1	0	0.1	1	0	0	1.9	4.9	2.4	0	21.2	17	1.9	0	0.9	2.6	0.2	0	1	2.3	0.9	0.2	64.1	26.2	1	0	0.8	1.4	0	0	1	4.3	4.8	0.1	49.8	23.5	1.5	0	1.7	0.7	0	0	1.2	5.2	2	0	6	31.5	0.3	0	0.8	10.1	0.3	0.3	0.1	0.4	1.6	0.1	34.3	28.2	0.7	0	10.2	1.9	0	0	0.4	1.1	4.7
1969	0.1	71.5	24.3	1.3	0	0.1	1	0	0	1.7	5.8	2.4	0	21.1	16	2	0	0.7	2.6	0.2	0	1	2.2	1.1	0.2	64.2	25.5	1.1	0	0.9	1.1	0	0	1	4.2	5.1	0.1	50.6	23.5	1.2	0	1.5	0.7	0	0	1.2	5.1	2	0	6.1	32.2	0.3	0	0.8	8.8	0.4	0.3	0.1	0.5	1.6	0.1	34.7	27.4	0.7	0	10.1	2	0	0	0.5	1	4.5
1970	0.1	67.4	26.2	1.4	0	0.1	0.8	0	0	1.8	5.7	2.3	0	21.4	16.5	2	0	0.6	2.7	0.2	0	1	2.4	1.1	0.1	65.6	25	1	0	0.8	1.4	0	0	1	4.2	5	0.1	52.2	23.5	1.3	0	1.4	0.7	0	0	1.2	5	2.2	0	5.8	33.3	0.3	0	0.8	9.9	0.3	0.5	0.1	0.4	1.6	0.1	36.9	26.8	0.7	0	10.3	1.7	0	0.1	0.5	1	4.4
