year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,grains_barley,grains_cereals-other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed-oil,oils_groundnut,oils_oilcrops-other,oils_olives,oils_palm-oil,oils_rape-and-mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_and_stimulants_cloves,spices_and_stimulants_cocoa-beans,spices_and_stimulants_coffee,spices_and_stimulants_pepper,spices_and_stimulants_pimento,spices_and_stimulants_spices-other,spices_and_stimulants_tea,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,sweeteners_sugar,sweeteners_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other
1961,15.7,9.4,20.1,382.9,5.1,42.1,0.6,4.8,24.6,0.6,0.7,5.9,1.2,34.2,19.9,168.4,43.4,3.9,257.1,20.4,60.3,402.9,0.8,55.5,10,34.2,13.3,13.7,18.2,4.3,4.1,16.3,9.7,7,26.4,5.8,31.2,0,2.2,1.5,0.2,1.8,1.8,0.5,85.2,48.7,32.3,25.9,21.5,216.3,3.6,3.2,3.4,25.1
1962,15.9,9.8,20.6,384.3,5.8,42.4,0.6,4.7,23.9,0.6,0.7,6.1,1.3,34.9,21.2,168.6,43.5,3.7,260.1,20.7,62.5,402.8,0.8,55.6,10.2,36.9,13.9,14,18.6,4.8,4.6,19,10.5,6.9,25.8,5.6,31.3,0,2.4,1.6,0.2,1.9,1.9,0.5,83.5,46.9,32.7,26.2,21,222.2,3.7,3.2,3.5,25.4
1963,16.6,9.4,19.5,387.4,6,42,0.6,5.1,24.1,0.7,0.8,6.1,1.3,34.3,21.6,167.7,44,3.6,266.1,20.4,61.8,404.3,0.9,54.5,10,38.9,14.3,13.9,19.6,4.3,4.7,20.1,11.4,6.9,26.8,5.8,31.4,0,2.4,1.6,0.2,1.8,1.9,0.5,82.6,47.5,32.6,25.6,20.5,220.1,3.6,3.4,3.7,25.8
1964,17.1,9.4,20.9,391.5,6.5,43.5,0.6,5,24.3,0.7,0.7,6.7,1.3,35.2,21.2,170.5,45.7,3.7,270.2,18.7,60.7,410.4,1,54.1,10.3,36.9,14.3,15.3,19.8,4.3,4.7,21.2,12.2,6.8,27.4,5.9,31.1,0,2.6,1.7,0.2,1.9,2,0.5,82.1,47.8,32,25.8,20.4,224.4,4,3.5,3.8,25.9
1965,17.4,8.9,21.3,395.1,5.9,43.2,0.6,5,24.1,0.7,0.7,6.6,1.3,35.5,20.7,170.4,43.8,4.3,270.7,18.8,57.5,416.1,1.2,54,10.6,39.3,15.6,15.1,19.2,5.4,4.6,21.5,12.8,6.6,27.3,6,31.2,0,2.7,1.7,0.2,1.8,1.9,0.5,84.6,47.2,32.1,25.7,20.3,232.9,4.1,3.5,3.9,25.5
1966,18.2,9.4,21.7,402.4,6.2,43.6,0.6,4.9,24.9,0.8,0.6,6.7,1.4,36.3,20.3,169.1,45.2,3.9,273.1,17.9,57.3,414.7,1.4,55.1,10.1,39.1,15.4,15.5,19.8,5.1,4.3,22.8,14.7,6.9,28.1,6.1,30.4,0.1,2.9,1.8,0.2,1.9,2,0.5,82.1,46.8,32.3,25.6,19.2,237.4,4.5,3.5,4.1,26.2
1967,17.7,9.8,21.4,405.4,6.9,45.4,0.6,4.9,24.5,0.8,0.8,6.9,1.6,36.4,18.3,173.1,44.6,3.3,267.2,17.4,58.1,416.5,1.4,53.3,9.8,38.8,16.8,15.3,20.3,6.1,4.4,23,17.2,7.2,28.7,5.9,30.8,0,3,1.9,0.3,1.9,2,0.5,81.8,47,31.7,24.5,20,240.7,4.5,3.7,4.1,26.5
1968,18.3,9.7,22.4,414.9,6.5,45.3,0.6,4.8,25,0.8,0.7,7.1,1.5,35.7,17.8,171.1,44.4,3.4,269.6,16.8,57.2,420.7,1.5,50.9,9.7,39.5,18.4,16,20.2,6.6,4.9,23.4,19.3,7.2,27.9,5.6,29.9,0,3,1.9,0.2,1.9,2.1,0.5,81.5,46.7,32.1,24,21.1,244.7,5.1,3.4,4.2,26.6
1969,18.8,9.6,22.5,419.1,6.8,45.6,0.6,4.8,24.3,0.8,0.7,7.1,1.6,37.6,17.9,172.7,45.3,3.2,272.2,16.2,54.7,424.7,1.7,51.3,10.5,38.5,17.3,15.6,20.9,6.4,4.9,26,19.2,7.6,27.2,5.4,30.2,0,3.4,2,0.2,1.8,2,0.5,79.9,47.3,32.1,24.4,20.1,247.7,5.4,3.6,4.5,26.4
1970,19.5,10.2,21.9,427.6,6.5,45.3,0.6,4.9,25.1,0.8,0.7,7.3,1.6,39.2,17.3,169.1,45,3.1,276.2,15.7,53.8,426.4,1.7,50.8,9.8,37.8,17.5,16.4,20.8,6.9,5.2,31.3,18,7.6,27.2,5.4,30,0,4,1.8,0.2,1.9,2.1,0.5,80.1,46.9,31.4,24.6,20,252,5.4,3.8,4.5,27
1971,20.2,10.7,21.9,430.9,6.8,45.5,0.6,4.6,24.6,0.8,0.8,7.5,1.5,39.7,15.9,169.7,43.9,2.8,280.7,15.7,52.5,427.3,1.8,51.1,10.7,36.4,16.8,18.6,21.8,7.6,5.7,33.5,16.8,7.7,27.8,5.3,30,0,3.8,1.9,0.3,1.9,2.1,0.5,79.1,47.6,31.1,23.6,19.7,253.8,5.5,3.8,4.7,27.6
1972,20.1,10.3,20.7,430.3,6.5,44.8,0.6,4.4,24.8,0.9,0.8,7.9,1.5,39.3,16.2,168.6,41.3,3.2,278.4,15,47.9,429.6,1.6,52.6,11,37.4,17.9,18.3,22.4,8.7,5.1,32.3,17.3,7.3,27.2,5.2,30.6,0,4.2,1.9,0.2,1.9,2.1,0.5,77.4,45.7,30.3,22.4,19.5,254.8,5.5,3.8,4.8,27.2
1973,20.8,10.8,20.4,427.3,6.7,45,0.6,4.8,24.9,1,0.8,8.2,1.5,41,16.5,167.9,44.1,3,280.6,14.1,47.2,438.2,1.9,52.1,11.4,36.5,18.4,17.6,20.9,8.6,4.9,34.8,19.4,7.2,26.4,4.7,29.9,0,4.4,2,0.2,1.9,2.3,0.5,78.2,46.3,30.4,22.4,19.4,255.6,5.6,3.8,5,27.1
1974,21,10.7,20.7,431.2,6.4,44.7,0.6,5,24.5,1.1,0.8,7.8,1.6,40.1,14.8,170,42.9,2.7,288.3,14.3,49.2,433,2.5,49.7,12.6,35.5,18.8,17.5,22.7,8.1,5.1,37.5,18.4,7.2,25.5,4.8,29.8,0,4.4,1.9,0.3,1.8,2.3,0.5,76.2,46,30.2,22.8,18.7,253.4,6.6,4.1,5.5,27.9
1975,22.2,10.2,21.3,434.8,7,45.9,0.6,4.6,24,1.2,0.8,7.6,1.7,41.1,15,173.2,39.8,2.7,285.1,13.7,47,434.9,2.4,51.8,11.5,35.1,18.2,16.9,24.5,8.3,4.6,39.8,18.2,7.5,26.6,4.6,30,0,4.1,2,0.3,1.8,2.3,0.6,76.5,44.6,30.2,23.5,18.1,246.5,5.9,4,5.7,28.1
1976,22.8,10.2,21.5,443.9,7.2,45.9,0.7,4.3,24.2,1.4,0.9,7.5,1.8,40.7,16.4,173.9,37.7,2.9,287.7,13.2,48.2,436.1,2.6,52.5,10.8,36.2,18.3,17.8,25.5,8.3,4.9,40.9,19.1,7.6,26.6,4.6,30.5,0,4.1,2,0.3,2,2.3,0.6,75.6,44.2,29.3,23.5,18.2,254.6,6.3,4.1,5.3,28.2
1977,23.6,10.1,20.5,449.2,7,45.7,0.7,4.6,23.3,1.2,0.9,7.9,1.9,40.1,16.3,170.5,35.5,2.9,288.9,12.8,45.1,446.2,2.7,51.1,11.3,36.3,18,17.5,27.5,7.6,4.5,42.3,19.7,7.6,27.5,4.9,29.8,0,4.4,1.7,0.3,1.9,2.5,0.6,74.2,45,29.6,22.5,17.3,258.6,6.5,4.4,5.3,28.8
