year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,grains_barley,grains_cereals-other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed-oil,oils_groundnut,oils_oilcrops-other,oils_olives,oils_palm-oil,oils_rape-and-mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_and_stimulants_cloves,spices_and_stimulants_cocoa-beans,spices_and_stimulants_coffee,spices_and_stimulants_pepper,spices_and_stimulants_pimento,spices_and_stimulants_spices-other,spices_and_stimulants_tea,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,sweeteners_sugar,sweeteners_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other
1961,5.3,22.2,29.7,344.9,10.7,58.8,2.2,3,55.1,3.2,3.9,20,3.7,44.6,6.8,53.4,15.2,1.8,71.7,7.5,19.8,147.1,0,27.8,1.1,5,1.7,2.3,2,0.5,0.6,2.2,1.1,2.7,7.8,1.7,9.2,0,1,3.4,0.1,0.6,0.6,1.4,84.7,71.5,36.8,27.1,21.9,64.3,1.4,8.2,18.2,103.3
1962,5.4,22.7,30.6,346.8,12.9,59,2.2,2.9,53.2,3.3,4.1,21.3,3.8,45.2,7.3,53.5,15.2,1.7,72.5,7.6,20.5,147,0,28.1,1.2,5.5,1.8,2.1,2.1,0.6,0.7,2.5,1.2,2.7,7.7,1.6,9.2,0,1,3.6,0.1,0.6,0.6,1.4,82.8,68.9,37.4,27.5,21.4,65.9,1.4,8.3,18.6,104.3
1963,5.7,22,28.8,350.4,13,58.6,2.3,3.1,53.6,3.5,4.4,21.1,3.8,46.1,7.5,53.2,15.4,1.7,74.2,7.5,20.3,147.6,0,27.4,1.1,5.7,1.9,2.2,2.2,0.5,0.7,2.7,1.3,2.6,8,1.7,9.3,0,1,3.6,0.1,0.7,0.6,1.4,82,69.7,37.3,26.8,20.9,65.5,1.4,8.7,19.4,106.4
1964,5.8,21.8,30.8,354.2,14.1,60.7,2.3,3.1,54,3.6,4.3,22.6,3.8,48.4,7.4,54,16,1.7,75.3,6.9,20,149.8,0,27.4,1.2,5.5,1.9,2.3,2.2,0.5,0.7,2.8,1.4,2.6,8.1,1.7,9.2,0,1,3.7,0.1,0.7,0.6,1.4,81.3,70.1,36.6,27,20.8,66.8,1.6,9,20.4,107.1
1965,6,20.7,31.7,358.1,12.9,60.4,2.3,3.1,54,3.6,4,22.4,3.8,49.3,7.2,54,15.3,2,75.4,7,19,155.1,0,27.2,1.2,5.8,2,2.4,2.2,0.6,0.7,2.8,1.5,2.5,8.1,1.8,9.2,0,1.1,3.7,0.1,0.7,0.6,1.4,84.1,69.2,36.7,26.9,20.8,69.5,1.6,8.8,20.7,105.6
1966,6.2,21.8,32.3,366,13.4,60.9,2.4,3,56.3,3.7,3.8,23.5,4.2,51.1,7,53.6,15.8,1.8,76.1,6.6,18.9,154.8,0,26.7,1.2,5.8,2,2.3,2.3,0.6,0.6,3,1.7,2.6,8.3,1.8,9,0,1.1,4,0.1,0.7,0.6,1.4,81.2,68.6,37,26.7,19.6,70.6,1.7,9.1,21.5,106.8
1967,6,22.4,32,370.5,15.8,63,2.4,3,55.4,3.8,4.4,24.1,4.6,52.4,6.4,54.9,15.6,1.6,74.5,6.5,19.2,155.5,0,26,1.1,5.7,2.2,2.3,2.3,0.7,0.6,3.1,2,2.7,8.5,1.7,9.1,0,1.1,4.1,0.1,0.7,0.6,1.4,81,68.9,36.3,25.6,20.4,71.4,1.8,9.3,21.7,108.4
1968,6.2,22.1,33.3,377.3,14.1,63,2.4,2.9,56.7,3.9,4.3,24.7,4.5,52.9,6.2,54.2,15.6,1.6,75.2,6.2,19,156.9,0,25.9,1.1,5.8,2.3,2.5,2.3,0.8,0.7,3.1,2.2,2.7,8.3,1.6,8.8,0,1.1,4.2,0.1,0.7,0.6,1.4,80.9,68.6,36.8,25.1,21.6,72.5,2,8.9,22.2,108.4
1969,6.4,21.8,33.4,381.6,15.3,63.6,2.3,2.9,55,3.8,4.5,24.4,4.6,56.4,6.2,54.8,15.9,1.5,75.9,6,18.1,157.9,0,26.4,1.2,5.7,2.2,2.4,2.4,0.8,0.7,3.4,2.2,2.8,8.1,1.6,8.9,0,1.1,4.3,0.1,0.7,0.6,1.4,79.6,69.4,36.9,25.5,20.6,73.4,2.2,9.2,23.7,107.6
1970,6.6,23.1,32.5,389.2,14.1,63.5,2.4,3,57.1,3.9,4.4,25.6,4.6,60,6,53.5,15.7,1.4,77,5.8,17.8,158.1,0,26.5,1.1,5.7,2.2,2.4,2.4,0.8,0.7,4,2.1,2.9,8.1,1.6,8.8,0,1.3,4.1,0.1,0.7,0.6,1.4,79.8,68.7,36.1,25.7,20.5,74.7,2.3,9.8,23.5,108.9
1971,6.9,24,32.4,393.3,15,63.7,2.4,2.8,56,3.8,4.8,26.4,4.5,61.8,5.7,53.7,15.4,1.3,78.2,5.8,17.3,158.8,0,26.9,1.2,5.5,2.1,2.8,2.5,0.9,0.8,4.3,1.9,2.9,8.2,1.6,8.8,0,1.3,4.2,0.1,0.7,0.6,1.4,78.8,69.5,35.8,24.7,20.2,74.9,2.4,9.9,24.7,113.2
1972,6.9,22.7,30.8,394.9,13.9,62.8,2.4,2.7,56.7,4.3,4.8,27.3,4.4,61.8,5.7,53.3,14.5,1.5,77.6,5.5,15.8,159.9,0,27.1,1.2,5.6,2.3,2.8,2.6,1,0.7,4.1,2,2.8,8,1.5,9,0,1.4,4.3,0.1,0.7,0.6,1.4,77.2,67,34.7,23.4,20,75,2.4,9.7,25.4,111.2
1973,7.1,23.6,30.1,396.2,14.5,63,2.4,3,56.9,4.8,5,28.1,4.4,64.8,5.8,53,15.4,1.4,78.2,5.2,15.6,164.3,0,27.4,1.3,5.5,2.3,2.6,2.4,1,0.7,4.5,2.3,2.8,7.8,1.4,8.8,0,1.3,4.3,0.1,0.7,0.7,1.5,78,67.9,34.9,23.3,19.9,75.3,2.4,9.9,26.4,110
1974,7.2,23.9,30.7,403,13.9,62.8,2.4,3.1,56.1,5.4,4.9,27.1,4.8,65.3,5.3,53.7,15.1,1.3,80.3,5.3,16.3,161.2,0,26.9,1.4,5.3,2.4,2.7,2.6,1,0.7,4.8,2.2,2.8,7.5,1.4,8.8,0,1.3,4.2,0.1,0.7,0.7,1.5,76.1,67.5,34.6,23.7,19.1,74.8,2.7,10.6,28.9,113.2
1975,7.6,22.4,31.5,403.8,15.4,64.3,2.4,2.9,55,5.7,5,27.1,5,66.3,5.4,54.5,14,1.3,79.4,5,15.5,161.8,0,27.2,1.3,5.3,2.3,2.6,2.8,1,0.7,5,2.1,2.9,7.9,1.4,8.8,0,1.4,4.4,0.1,0.7,0.7,1.6,76.6,65.5,34.6,24.5,18.5,72.9,2.4,10.3,30.8,115.1
1976,7.8,22.5,31.9,414.8,15.6,64.3,2.7,2.6,55.8,6.5,5,26.4,5.3,67.2,5.9,54.7,13.2,1.3,80.2,4.8,15.9,162.5,0,26.9,1.2,5.5,2.3,2.8,2.9,1,0.7,5.2,2.3,2.9,7.9,1.4,9,0,1.4,4.4,0.1,0.7,0.7,1.6,75.6,64.9,33.6,24.4,18.7,75.3,2.6,10.6,27.8,115.2
1977,8.1,21.9,30.3,421.6,15.1,64.1,2.7,2.8,53.7,5.8,5.1,28.1,5.3,68.1,5.9,53.8,12.4,1.4,80.5,4.7,14.9,166.7,0,26.7,1.3,5.4,2.3,2.7,3.2,0.9,0.7,5.3,2.3,2.9,8.2,1.4,8.8,0,1.3,3.8,0.1,0.8,0.7,1.6,74.4,66.2,33.7,23.5,17.7,76.9,2.7,11.3,28.1,117.2
1978,8,20.9,30.2,431.8,15.9,64.5,2.8,2.8,54.3,5.6,4.8,26.8,5.5,69.2,5.4,54.6,11.4,1.4,80.3,4.6,15.4,169,0,26.4,1.3,5.2,2.3,2.9,3,1,0.6,5.9,2.5,3,8,1.4,9,0,1.3,4.2,0.1,0.8,0.8,1.6,73.9,66.5,32.5,24.7,19,78,2.9,11.5,31.5,119.1
1979,7.9,20.7,30.1,435,17,66.2,2.9,2.7,55.4,5.1,4.5,27.8,5.9,70.8,5.4,55.4,11.5,1.5,82.9,4.5,15.2,168.7,0,25.7,1.3,5.1,2.3,2.7,3,1.1,0.6,6.3,2.7,2.9,7.9,1.3,8.8,0,1.4,4.6,0.1,0.8,0.8,1.6,71.2,66.5,33.1,23.3,18.4,78.5,3,11.5,32,120.9
1980,8,19.5,30.8,442.1,17.2,63.9,2.7,2.5,54.8,6.3,5,31.3,6.1,71.4,5.7,56.7,11.4,1.3,82.7,4.5,14.9,172.1,0,25.2,1.3,4.7,2.3,3,3.1,1.2,0.6,6.8,2.9,2.9,7.8,1.5,8.7,0,1.4,4.7,0.1,0.8,0.7,1.6,70.3,66.5,31.9,22.9,18.5,79.2,3.2,11.3,31.8,122.8
1981,8,17.7,32,443,16.1,62.2,2.6,2.4,55.4,7.3,5.1,29.7,5.7,72.4,5.9,56,10.4,1.2,84.7,4.3,13.7,172.8,0,25.3,1.4,4.8,2.7,2.8,3.4,1.3,0.6,7,2.9,3,8.1,1.5,8.7,0,1.5,4.8,0.1,0.7,0.8,1.6,70.9,67.9,31.3,21.8,17.9,78.8,3,11.2,33,125.2
