"year","alcoholic_beverages_beverages-alcoholic","alcoholic_beverages_beverages-fermented","alcoholic_beverages_grapes","animal_products_animal-products","cereals_barley","cereals_cereals-other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas-and-plantains","fruits_citrus-other","fruits_dates","fruits_fruits-other","fruits_grapefruit","fruits_lemons-and-limes","fruits_oranges-and-mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed-oil","oilcrops_groundnut","oilcrops_oilcrops-other","oilcrops_olives","oilcrops_palm-oil","oilcrops_rape-and-mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses-other","spices_cloves","spices_pepper","spices_pimento","spices_spices-other","starchy_roots_cassava","starchy_roots_potatoes","starchy_roots_roots-other","starchy_roots_sweet-potatoes","starchy_roots_yams","stimulants_cocoa-beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners-other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables-other,"
1961,0,0,0,28,0.1,0.1,1.8,0.4,0.1,0.6,0.1,0.6,1.6,0,0.1,0,0,0.3,0,0,0,0,0,5.6,1.1,3.4,1.5,1.5,2.1,0.5,0.4,1.6,1.1,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,"0.2,"
1962,0,0,0,28.1,0.1,0.1,1.8,0.4,0.1,0.7,0.1,0.6,1.6,0,0.1,0,0,0.3,0,0,0,0,0,5.6,1.2,3.6,1.5,1.6,2.1,0.5,0.5,2,1.2,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,"0.2,"
1963,0,0,0,28.2,0.1,0.1,1.8,0.4,0.1,0.7,0.1,0.6,1.6,0,0.1,0,0,0.3,0,0,0,0,0,5.5,1.1,3.8,1.6,1.6,2.2,0.5,0.5,2.1,1.3,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,"0.2,"
1964,0,0,0,28.5,0.1,0.1,1.8,0.4,0.1,0.7,0.1,0.6,1.7,0,0.1,0,0,0.3,0,0,0,0,0,5.4,1.2,3.6,1.6,1.7,2.2,0.5,0.5,2.2,1.4,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,"0.2,"
1965,0,0,0,28.8,0.1,0.1,1.8,0.4,0.1,0.7,0.1,0.6,1.7,0,0.1,0,0,0.3,0,0,0,0,0,5.4,1.2,3.9,1.7,1.7,2.2,0.6,0.5,2.2,1.4,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,"0.2,"
1966,0,0,0,29.3,0.1,0.1,1.8,0.4,0.1,0.7,0.1,0.6,1.7,0,0.1,0,0,0.3,0,0,0,0,0,5.6,1.1,3.8,1.7,1.7,2.2,0.6,0.4,2.4,1.7,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0,0,0,0,0,0,"0.2,"
1967,0,0,0,29.4,0.1,0.1,1.9,0.4,0.1,0.7,0.1,0.6,1.7,0,0.1,0,0,0.3,0,0,0,0,0,5.4,1.1,3.8,1.9,1.7,2.3,0.7,0.4,2.4,1.9,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0,0,0,0,0,0,"0.2,"
1968,0,0,0,30.2,0.1,0.1,1.9,0.4,0.1,0.7,0.1,0.6,1.7,0,0.1,0,0,0.3,0,0,0,0,0,5.1,1.1,3.9,2,1.8,2.3,0.7,0.5,2.4,2.2,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0,0,0,0,0,0,"0.2,"
1969,0,0,0,30.5,0.1,0.1,1.9,0.4,0,0.7,0.1,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.2,1.2,3.8,1.9,1.8,2.4,0.7,0.5,2.7,2.2,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0,0,0,0,0,0,"0.2,"
1970,0,0,0,31,0.1,0.1,1.9,0.4,0,0.7,0.1,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.1,1.1,3.7,1.9,1.9,2.3,0.8,0.5,3.3,2,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0,0,0,0,0,0,"0.2,"
1971,0,0,0,31.3,0.1,0.1,1.9,0.4,0,0.7,0.1,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.1,1.2,3.5,1.9,2.1,2.5,0.8,0.6,3.6,1.9,0.5,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0,0,0,0,0,0,"0.2,"
1972,0,0,0,31.2,0.1,0.1,1.9,0.4,0.1,0.7,0.1,0.5,1.8,0,0.1,0,0,0.3,0,0,0,0,0,5.3,1.2,3.6,2,2.1,2.5,1,0.5,3.4,2,0.6,0.1,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0,0,0,0,0,0.1,"0.2,"
